Age,Income,EmploymentYears,HomeOwnership,CreditScore,DebtToIncomeRatio,PaymentHistory,LoanAmount,LoanPurpose,Default
74,17000.0,21.4,MORTGAGE,695,0.256,1,1900.0,PERSONAL,0
20,38400.0,0.3,RENT,664,0.08,0,14700.0,MEDICAL,0
54,62000.0,11.6,MORTGAGE,649,0.584,4,16800.0,PERSONAL,0
68,98100.0,34.4,OWN,654,0.364,3,38800.0,DEBT_CONSOLIDATION,0
24,50700.0,3.0,OWN,663,0.182,1,1100.0,VENTURE,0
38,32100.0,7.5,RENT,531,0.129,1,10900.0,MEDICAL,0
26,32600.0,3.5,MORTGAGE,679,0.321,1,2000.0,PERSONAL,0
56,76300.0,9.1,OWN,672,0.474,0,23800.0,PERSONAL,0
35,44000.0,10.7,MORTGAGE,607,0.374,2,16300.0,EDUCATION,1
21,48800.0,0.3,RENT,662,0.415,0,3600.0,DEBT_CONSOLIDATION,0
42,66700.0,3.0,OWN,748,0.448,1,25600.0,VENTURE,0
31,15000.0,0.4,MORTGAGE,610,0.225,2,3200.0,EDUCATION,1
67,133300.0,5.8,MORTGAGE,568,0.555,1,17900.0,EDUCATION,1
75,34000.0,7.9,MORTGAGE,602,0.288,2,11000.0,EDUCATION,0
26,55300.0,0.6,MORTGAGE,493,0.438,2,19000.0,MEDICAL,1
43,20900.0,5.0,RENT,803,0.201,0,7200.0,MEDICAL,0
70,39700.0,14.9,MORTGAGE,593,0.247,2,10300.0,EDUCATION,0
19,91300.0,0.3,MORTGAGE,761,0.229,1,11500.0,HOME_IMPROVEMENT,0
37,18800.0,4.7,MORTGAGE,560,0.312,2,2800.0,DEBT_CONSOLIDATION,1
45,86100.0,13.7,OWN,610,0.416,1,8600.0,VENTURE,0
64,42800.0,15.5,MORTGAGE,665,0.142,1,3400.0,DEBT_CONSOLIDATION,0
24,62500.0,2.4,OWN,711,0.48,1,10400.0,VENTURE,0
61,68100.0,2.4,MORTGAGE,654,0.185,2,23500.0,PERSONAL,0
25,61100.0,3.4,OWN,536,0.091,3,24400.0,DEBT_CONSOLIDATION,0
64,31800.0,13.2,MORTGAGE,655,0.416,3,9100.0,DEBT_CONSOLIDATION,0
52,40900.0,5.3,MORTGAGE,760,0.228,1,3400.0,EDUCATION,0
31,23600.0,3.3,RENT,686,0.291,1,6700.0,PERSONAL,0
34,62700.0,1.9,MORTGAGE,837,0.1,0,7600.0,VENTURE,0
53,114800.0,3.3,MORTGAGE,673,0.585,1,33200.0,PERSONAL,0
67,19700.0,1.5,MORTGAGE,741,0.243,0,2600.0,HOME_IMPROVEMENT,1
57,33500.0,5.1,RENT,702,0.29,1,3000.0,DEBT_CONSOLIDATION,0
21,44800.0,0.7,MORTGAGE,609,0.343,2,11700.0,HOME_IMPROVEMENT,0
19,53500.0,0.1,RENT,655,0.314,0,15000.0,EDUCATION,1
23,76100.0,0.2,OWN,749,0.206,0,6400.0,MEDICAL,0
71,45400.0,4.7,MORTGAGE,632,0.408,1,9800.0,DEBT_CONSOLIDATION,0
59,41900.0,12.0,OWN,691,0.137,4,14900.0,HOME_IMPROVEMENT,0
21,85100.0,0.8,RENT,610,0.293,1,23600.0,VENTURE,1
71,68300.0,10.3,OWN,734,0.242,2,18800.0,EDUCATION,0
46,64200.0,13.0,MORTGAGE,666,0.472,3,18900.0,HOME_IMPROVEMENT,1
35,51900.0,6.2,MORTGAGE,729,0.652,0,7900.0,DEBT_CONSOLIDATION,0
43,80100.0,4.2,RENT,759,0.361,0,7400.0,DEBT_CONSOLIDATION,0
61,35300.0,9.1,OWN,713,0.162,0,10600.0,HOME_IMPROVEMENT,0
51,33000.0,5.7,MORTGAGE,645,0.344,4,10900.0,PERSONAL,0
27,71200.0,3.2,OTHER,647,0.162,1,25600.0,DEBT_CONSOLIDATION,0
53,21800.0,15.1,OWN,491,0.152,1,7100.0,EDUCATION,0
31,51300.0,1.4,OTHER,694,0.202,1,7800.0,HOME_IMPROVEMENT,0
48,41800.0,9.0,OWN,743,0.373,0,8300.0,EDUCATION,0
65,24300.0,1.6,RENT,560,0.323,2,7800.0,EDUCATION,1
32,30800.0,0.4,OTHER,647,0.297,1,7100.0,HOME_IMPROVEMENT,1
25,46400.0,1.5,OTHER,645,0.52,1,10800.0,EDUCATION,0
31,82200.0,4.7,MORTGAGE,697,0.402,3,31000.0,VENTURE,1
40,35400.0,0.9,RENT,671,0.29,5,13600.0,VENTURE,0
74,89900.0,7.7,OWN,587,0.279,2,27600.0,HOME_IMPROVEMENT,0
57,50600.0,10.1,MORTGAGE,788,0.581,0,16600.0,HOME_IMPROVEMENT,0
38,94400.0,9.5,MORTGAGE,526,0.297,3,10700.0,PERSONAL,1
33,36200.0,6.3,MORTGAGE,611,0.406,2,9000.0,DEBT_CONSOLIDATION,1
62,47800.0,6.6,RENT,553,0.426,2,9700.0,DEBT_CONSOLIDATION,0
35,58900.0,3.8,OWN,688,0.184,0,1900.0,DEBT_CONSOLIDATION,0
64,44800.0,10.2,OTHER,697,0.328,1,15900.0,VENTURE,0
70,78900.0,2.5,MORTGAGE,650,0.55,1,10000.0,DEBT_CONSOLIDATION,0
41,16300.0,0.9,RENT,562,0.546,3,6100.0,DEBT_CONSOLIDATION,1
43,164600.0,16.4,RENT,585,0.168,2,32200.0,DEBT_CONSOLIDATION,0
42,75300.0,1.0,RENT,731,0.614,0,24700.0,EDUCATION,0
62,44900.0,15.7,OWN,653,0.452,3,8800.0,VENTURE,1
58,37200.0,4.0,MORTGAGE,623,0.21,4,3600.0,EDUCATION,0
46,31800.0,11.9,MORTGAGE,604,0.344,1,11300.0,HOME_IMPROVEMENT,0
32,67700.0,2.2,OWN,650,0.179,1,21400.0,HOME_IMPROVEMENT,0
62,80600.0,11.2,MORTGAGE,705,0.24,1,24600.0,DEBT_CONSOLIDATION,0
18,45200.0,0.0,MORTGAGE,640,0.31,2,4600.0,DEBT_CONSOLIDATION,1
42,85300.0,1.8,OWN,694,0.609,1,18300.0,MEDICAL,0
24,31100.0,0.1,MORTGAGE,534,0.121,2,4700.0,HOME_IMPROVEMENT,1
26,28500.0,2.0,MORTGAGE,750,0.498,0,7400.0,EDUCATION,0
41,121400.0,7.3,OWN,656,0.155,0,26300.0,MEDICAL,0
18,65900.0,0.0,MORTGAGE,581,0.398,2,5500.0,VENTURE,1
61,98600.0,0.4,MORTGAGE,695,0.607,2,25000.0,HOME_IMPROVEMENT,1
25,32000.0,1.0,OTHER,674,0.188,3,1500.0,HOME_IMPROVEMENT,0
41,30900.0,1.9,MORTGAGE,570,0.326,4,1800.0,PERSONAL,1
28,41000.0,2.4,MORTGAGE,650,0.306,3,3800.0,EDUCATION,0
68,32500.0,10.6,MORTGAGE,618,0.404,2,7900.0,PERSONAL,0
34,69800.0,8.0,RENT,558,0.082,3,21400.0,DEBT_CONSOLIDATION,1
25,33700.0,3.3,MORTGAGE,626,0.264,1,10800.0,DEBT_CONSOLIDATION,1
52,27300.0,2.2,MORTGAGE,576,0.218,1,3700.0,DEBT_CONSOLIDATION,0
52,52600.0,5.8,MORTGAGE,562,0.251,1,8700.0,HOME_IMPROVEMENT,1
50,25700.0,1.2,OWN,699,0.533,3,3200.0,DEBT_CONSOLIDATION,1
22,19900.0,0.7,OWN,684,0.159,2,1300.0,VENTURE,1
59,52400.0,23.3,RENT,639,0.311,2,10900.0,PERSONAL,0
56,20400.0,12.8,MORTGAGE,480,0.157,3,4900.0,HOME_IMPROVEMENT,0
75,72200.0,32.0,MORTGAGE,654,0.387,2,27100.0,DEBT_CONSOLIDATION,1
58,24400.0,7.7,MORTGAGE,720,0.142,2,7200.0,VENTURE,1
45,16000.0,6.4,MORTGAGE,756,0.198,0,6000.0,HOME_IMPROVEMENT,0
24,42300.0,1.7,RENT,741,0.066,0,5400.0,PERSONAL,0
26,52700.0,1.9,RENT,564,0.465,1,15600.0,HOME_IMPROVEMENT,0
25,62700.0,0.5,RENT,597,0.249,0,15400.0,VENTURE,0
29,53400.0,1.4,OWN,646,0.296,2,7000.0,HOME_IMPROVEMENT,0
51,28900.0,0.8,MORTGAGE,653,0.182,0,3200.0,VENTURE,0
50,70000.0,7.4,OTHER,662,0.306,1,8900.0,EDUCATION,0
65,79200.0,12.9,MORTGAGE,749,0.204,0,31100.0,HOME_IMPROVEMENT,1
72,26800.0,12.1,MORTGAGE,675,0.129,0,1200.0,HOME_IMPROVEMENT,0
40,44800.0,11.1,MORTGAGE,757,0.291,0,16300.0,DEBT_CONSOLIDATION,1
41,42700.0,2.5,MORTGAGE,598,0.341,1,13400.0,PERSONAL,0
54,54700.0,5.9,MORTGAGE,628,0.277,2,12400.0,EDUCATION,1
52,44200.0,3.5,OWN,626,0.328,1,15300.0,DEBT_CONSOLIDATION,0
61,47400.0,20.7,MORTGAGE,655,0.199,2,1900.0,PERSONAL,0
57,67600.0,13.5,RENT,551,0.273,3,15200.0,HOME_IMPROVEMENT,1
39,28100.0,0.5,OTHER,813,0.338,0,3900.0,VENTURE,0
44,70900.0,3.3,OWN,667,0.247,0,1300.0,EDUCATION,0
52,86700.0,5.5,RENT,568,0.428,3,21800.0,DEBT_CONSOLIDATION,0
18,111000.0,0.0,OWN,573,0.272,2,29500.0,DEBT_CONSOLIDATION,0
52,16800.0,10.7,OTHER,666,0.437,0,4400.0,EDUCATION,1
54,44700.0,15.6,OWN,707,0.327,2,7600.0,MEDICAL,0
64,18400.0,20.7,MORTGAGE,735,0.583,1,6100.0,VENTURE,0
31,15000.0,1.7,OWN,663,0.705,0,2700.0,DEBT_CONSOLIDATION,1
20,52700.0,0.1,MORTGAGE,708,0.267,0,13100.0,PERSONAL,1
18,40200.0,0.0,MORTGAGE,687,0.388,0,16000.0,VENTURE,0
22,56900.0,0.3,RENT,651,0.151,1,19400.0,VENTURE,1
43,62500.0,4.3,MORTGAGE,632,0.341,2,16500.0,MEDICAL,0
72,91500.0,12.9,MORTGAGE,662,0.084,1,25000.0,MEDICAL,0
31,50400.0,3.5,MORTGAGE,650,0.285,3,17100.0,PERSONAL,1
56,211400.0,2.4,OWN,659,0.217,2,9600.0,DEBT_CONSOLIDATION,0
44,57100.0,3.9,OWN,695,0.504,1,3400.0,DEBT_CONSOLIDATION,0
26,123200.0,2.1,MORTGAGE,789,0.19,1,11700.0,EDUCATION,0
32,15300.0,4.3,MORTGAGE,579,0.43,3,4800.0,DEBT_CONSOLIDATION,0
32,96300.0,0.9,OWN,667,0.72,1,29900.0,HOME_IMPROVEMENT,0
43,44800.0,11.3,MORTGAGE,688,0.598,2,1500.0,DEBT_CONSOLIDATION,0
59,18500.0,3.9,OWN,630,0.404,2,1400.0,DEBT_CONSOLIDATION,1
30,60500.0,2.0,MORTGAGE,746,0.392,0,23800.0,DEBT_CONSOLIDATION,1
68,42100.0,3.7,OTHER,621,0.558,1,8800.0,MEDICAL,1
49,65500.0,9.1,MORTGAGE,713,0.197,2,14500.0,MEDICAL,0
56,81300.0,5.7,RENT,760,0.172,0,20300.0,HOME_IMPROVEMENT,0
66,23300.0,2.7,RENT,691,0.326,0,9000.0,PERSONAL,1
69,81400.0,3.9,MORTGAGE,645,0.224,1,6000.0,VENTURE,0
49,49200.0,9.5,MORTGAGE,698,0.513,1,12800.0,HOME_IMPROVEMENT,0
21,96400.0,0.3,MORTGAGE,628,0.186,1,3800.0,VENTURE,0
47,44200.0,6.9,MORTGAGE,603,0.487,2,9600.0,MEDICAL,1
54,38700.0,8.9,RENT,689,0.248,1,7400.0,DEBT_CONSOLIDATION,0
40,49700.0,4.1,RENT,719,0.147,0,6100.0,VENTURE,0
56,51600.0,21.8,RENT,667,0.129,1,9700.0,HOME_IMPROVEMENT,0
62,35200.0,11.4,MORTGAGE,704,0.303,1,10100.0,HOME_IMPROVEMENT,0
32,38200.0,8.9,MORTGAGE,844,0.229,0,13000.0,VENTURE,0
60,26500.0,2.2,RENT,757,0.461,1,8500.0,HOME_IMPROVEMENT,0
46,39400.0,9.3,MORTGAGE,614,0.569,3,9600.0,VENTURE,1
53,68700.0,10.3,MORTGAGE,674,0.228,1,24800.0,EDUCATION,0
30,45800.0,4.2,RENT,684,0.138,4,13000.0,MEDICAL,0
49,81200.0,9.1,RENT,592,0.408,2,27400.0,EDUCATION,1
24,44700.0,1.7,OWN,709,0.224,0,7700.0,MEDICAL,0
68,24000.0,11.8,MORTGAGE,599,0.321,3,7000.0,HOME_IMPROVEMENT,1
39,66100.0,5.1,MORTGAGE,713,0.376,1,2900.0,VENTURE,0
45,35000.0,7.6,MORTGAGE,814,0.257,1,13400.0,HOME_IMPROVEMENT,1
19,43600.0,0.2,MORTGAGE,649,0.57,2,11300.0,DEBT_CONSOLIDATION,1
59,91000.0,2.0,MORTGAGE,694,0.541,1,31300.0,EDUCATION,0
62,27400.0,17.6,MORTGAGE,683,0.311,0,5800.0,HOME_IMPROVEMENT,0
74,53200.0,9.8,OWN,585,0.647,2,1600.0,EDUCATION,0
70,48000.0,12.2,MORTGAGE,601,0.267,3,10000.0,VENTURE,1
23,69600.0,0.3,OWN,688,0.095,1,20500.0,PERSONAL,0
45,75200.0,6.0,MORTGAGE,670,0.327,0,2900.0,HOME_IMPROVEMENT,0
45,55900.0,2.1,OTHER,649,0.365,1,3100.0,MEDICAL,1
61,40900.0,3.9,MORTGAGE,734,0.526,1,1800.0,PERSONAL,0
61,62100.0,19.1,OWN,697,0.1,3,3900.0,DEBT_CONSOLIDATION,0
37,95600.0,1.4,OWN,836,0.286,0,23900.0,DEBT_CONSOLIDATION,0
47,48400.0,7.1,MORTGAGE,585,0.659,5,17100.0,MEDICAL,1
28,42900.0,1.1,OWN,627,0.22,1,8600.0,PERSONAL,0
75,59500.0,1.5,MORTGAGE,776,0.493,0,19400.0,PERSONAL,0
72,50000.0,28.1,MORTGAGE,795,0.505,1,8600.0,HOME_IMPROVEMENT,0
45,25100.0,5.8,MORTGAGE,591,0.619,3,8700.0,DEBT_CONSOLIDATION,1
42,55300.0,0.7,RENT,628,0.208,1,4300.0,VENTURE,0
56,25000.0,1.6,RENT,645,0.122,1,6200.0,MEDICAL,0
50,59100.0,15.5,OWN,772,0.221,0,12800.0,VENTURE,0
18,32900.0,0.0,RENT,649,0.257,2,2300.0,DEBT_CONSOLIDATION,0
74,49900.0,13.8,OWN,646,0.555,1,5500.0,VENTURE,1
44,59600.0,0.9,OWN,638,0.309,0,12100.0,PERSONAL,0
74,167200.0,14.0,MORTGAGE,668,0.11,1,38800.0,HOME_IMPROVEMENT,1
69,71100.0,12.7,MORTGAGE,687,0.354,1,25800.0,PERSONAL,0
30,97000.0,0.6,OWN,810,0.183,0,28800.0,HOME_IMPROVEMENT,0
58,125000.0,11.7,MORTGAGE,777,0.129,0,15400.0,DEBT_CONSOLIDATION,0
20,62600.0,0.3,RENT,573,0.303,2,3500.0,VENTURE,0
56,56500.0,4.7,OWN,644,0.257,0,12300.0,VENTURE,1
23,28800.0,1.1,RENT,661,0.163,3,4600.0,PERSONAL,0
25,46200.0,3.5,RENT,624,0.13,3,10800.0,EDUCATION,0
44,34100.0,4.9,OWN,740,0.186,0,6000.0,HOME_IMPROVEMENT,0
26,40100.0,3.5,MORTGAGE,767,0.118,1,6700.0,DEBT_CONSOLIDATION,1
54,124900.0,4.6,OWN,621,0.186,1,45700.0,DEBT_CONSOLIDATION,1
50,51900.0,12.3,OWN,660,0.388,1,14200.0,HOME_IMPROVEMENT,0
68,31600.0,16.6,OWN,731,0.438,1,8800.0,PERSONAL,0
59,97500.0,18.5,OWN,745,0.25,2,6100.0,PERSONAL,0
61,79000.0,0.8,OWN,619,0.337,1,12900.0,HOME_IMPROVEMENT,0
41,81100.0,2.7,OWN,698,0.312,1,25000.0,HOME_IMPROVEMENT,0
32,18000.0,3.0,MORTGAGE,604,0.314,1,4500.0,DEBT_CONSOLIDATION,1
71,129900.0,25.9,MORTGAGE,744,0.558,1,23600.0,EDUCATION,1
49,37100.0,1.4,RENT,601,0.269,3,14500.0,DEBT_CONSOLIDATION,1
49,72300.0,9.7,OWN,668,0.379,1,4800.0,VENTURE,0
41,173100.0,5.2,MORTGAGE,621,0.448,2,8900.0,HOME_IMPROVEMENT,0
58,144000.0,15.5,RENT,581,0.205,3,28600.0,HOME_IMPROVEMENT,0
69,30100.0,5.4,OWN,614,0.366,3,5500.0,HOME_IMPROVEMENT,1
66,23800.0,5.5,MORTGAGE,632,0.608,3,5100.0,HOME_IMPROVEMENT,1
66,100200.0,8.8,MORTGAGE,759,0.276,1,22400.0,HOME_IMPROVEMENT,1
75,52600.0,1.2,RENT,622,0.706,4,3600.0,DEBT_CONSOLIDATION,1
69,38200.0,18.8,MORTGAGE,665,0.489,0,4900.0,HOME_IMPROVEMENT,1
29,66900.0,2.4,MORTGAGE,606,0.145,0,14800.0,DEBT_CONSOLIDATION,0
56,45200.0,2.5,RENT,733,0.222,0,4300.0,DEBT_CONSOLIDATION,0
19,69600.0,0.1,MORTGAGE,744,0.28,0,23500.0,HOME_IMPROVEMENT,0
20,50700.0,0.3,MORTGAGE,722,0.25,0,16100.0,PERSONAL,0
66,70300.0,9.2,RENT,631,0.442,0,16400.0,VENTURE,0
54,31300.0,5.8,MORTGAGE,606,0.262,1,6700.0,DEBT_CONSOLIDATION,1
66,99900.0,22.9,OWN,586,0.582,3,37200.0,HOME_IMPROVEMENT,0
73,69500.0,11.8,RENT,721,0.484,1,21200.0,DEBT_CONSOLIDATION,0
34,67700.0,3.8,MORTGAGE,623,0.089,3,2000.0,VENTURE,0
66,28000.0,5.6,MORTGAGE,728,0.169,2,3300.0,PERSONAL,1
19,114700.0,0.5,MORTGAGE,591,0.359,2,4300.0,PERSONAL,0
19,48700.0,0.1,RENT,643,0.429,3,19400.0,EDUCATION,1
45,70500.0,7.3,MORTGAGE,623,0.548,6,12500.0,PERSONAL,1
71,41700.0,22.7,MORTGAGE,602,0.403,0,3100.0,DEBT_CONSOLIDATION,0
40,55900.0,3.9,OTHER,520,0.125,1,8700.0,HOME_IMPROVEMENT,1
54,56900.0,6.3,MORTGAGE,554,0.16,1,22300.0,VENTURE,0
49,15000.0,2.7,OWN,750,0.472,0,1700.0,HOME_IMPROVEMENT,0
50,65600.0,3.5,MORTGAGE,593,0.257,1,10000.0,HOME_IMPROVEMENT,1
18,131000.0,0.0,MORTGAGE,713,0.226,0,14500.0,HOME_IMPROVEMENT,0
36,64200.0,0.7,MORTGAGE,661,0.519,1,20500.0,DEBT_CONSOLIDATION,0
19,30400.0,0.1,MORTGAGE,632,0.434,0,1300.0,VENTURE,1
70,67800.0,18.4,MORTGAGE,626,0.285,1,25700.0,MEDICAL,0
61,83300.0,13.3,MORTGAGE,653,0.364,0,29100.0,DEBT_CONSOLIDATION,0
43,63300.0,10.9,RENT,713,0.365,1,9900.0,MEDICAL,1
49,47200.0,14.2,MORTGAGE,561,0.059,2,17100.0,VENTURE,1
23,43400.0,1.0,RENT,654,0.295,2,8000.0,PERSONAL,0
49,43300.0,14.2,RENT,690,0.48,0,5800.0,HOME_IMPROVEMENT,0
72,69500.0,2.5,OWN,719,0.391,1,11900.0,EDUCATION,1
21,24300.0,0.7,MORTGAGE,740,0.3,0,8200.0,MEDICAL,0
72,40700.0,15.2,MORTGAGE,645,0.343,3,9600.0,MEDICAL,0
28,108900.0,3.0,RENT,547,0.575,2,10200.0,DEBT_CONSOLIDATION,0
73,111000.0,29.4,RENT,692,0.247,0,4000.0,HOME_IMPROVEMENT,0
34,23400.0,3.8,OWN,650,0.366,0,6100.0,DEBT_CONSOLIDATION,0
55,27800.0,1.7,RENT,756,0.491,0,9300.0,DEBT_CONSOLIDATION,0
41,42800.0,1.4,MORTGAGE,676,0.498,0,14800.0,EDUCATION,0
22,76600.0,1.7,RENT,757,0.421,1,25400.0,DEBT_CONSOLIDATION,0
69,19700.0,19.6,OWN,617,0.411,3,4500.0,EDUCATION,0
51,47700.0,16.0,RENT,757,0.233,1,7800.0,DEBT_CONSOLIDATION,0
23,38700.0,0.5,MORTGAGE,672,0.654,1,15100.0,VENTURE,1
39,95100.0,0.8,MORTGAGE,693,0.424,2,35200.0,DEBT_CONSOLIDATION,0
28,21200.0,1.1,RENT,522,0.145,0,6600.0,MEDICAL,1
65,51300.0,3.6,MORTGAGE,748,0.242,0,9400.0,EDUCATION,0
33,40300.0,3.0,MORTGAGE,645,0.208,2,15700.0,HOME_IMPROVEMENT,0
50,102200.0,20.1,MORTGAGE,699,0.445,0,15900.0,DEBT_CONSOLIDATION,1
26,66100.0,2.6,RENT,633,0.207,1,18400.0,EDUCATION,1
23,36600.0,0.2,MORTGAGE,752,0.545,1,5000.0,EDUCATION,1
33,75100.0,3.0,RENT,678,0.42,2,25300.0,HOME_IMPROVEMENT,0
46,40400.0,6.5,MORTGAGE,671,0.483,1,14000.0,MEDICAL,0
20,80800.0,0.0,MORTGAGE,811,0.127,0,16900.0,EDUCATION,0
37,43500.0,2.2,OWN,460,0.41,3,10200.0,VENTURE,1
53,83100.0,2.7,RENT,627,0.333,2,31600.0,EDUCATION,1
36,61000.0,0.6,MORTGAGE,647,0.661,0,4300.0,MEDICAL,1
43,250000.0,6.1,MORTGAGE,593,0.544,3,24100.0,HOME_IMPROVEMENT,1
20,47700.0,0.1,MORTGAGE,686,0.338,0,10600.0,MEDICAL,0
36,59400.0,6.6,MORTGAGE,552,0.482,2,19600.0,HOME_IMPROVEMENT,1
37,38600.0,4.9,RENT,556,0.313,1,12200.0,VENTURE,0
49,49100.0,8.2,MORTGAGE,694,0.294,2,12200.0,DEBT_CONSOLIDATION,1
24,15000.0,1.5,OTHER,586,0.382,2,1800.0,VENTURE,1
69,61900.0,10.0,OWN,700,0.29,2,10700.0,EDUCATION,1
58,95900.0,6.3,MORTGAGE,612,0.748,2,4400.0,VENTURE,0
50,59800.0,13.4,MORTGAGE,592,0.765,2,4400.0,VENTURE,0
57,25400.0,10.4,RENT,581,0.233,1,3100.0,VENTURE,1
56,32800.0,5.3,OWN,583,0.468,1,5000.0,MEDICAL,0
35,15000.0,5.0,MORTGAGE,625,0.425,3,3200.0,EDUCATION,1
57,80000.0,14.0,RENT,596,0.159,2,23300.0,VENTURE,1
18,29600.0,0.0,OWN,650,0.405,2,1300.0,HOME_IMPROVEMENT,1
28,48300.0,1.2,RENT,511,0.184,2,17000.0,VENTURE,1
45,45400.0,8.0,RENT,592,0.366,2,18000.0,HOME_IMPROVEMENT,0
74,103100.0,6.2,OWN,759,0.471,2,39800.0,HOME_IMPROVEMENT,0
42,51200.0,2.1,MORTGAGE,559,0.494,2,9300.0,PERSONAL,0
67,73500.0,18.0,MORTGAGE,606,0.085,0,12300.0,HOME_IMPROVEMENT,0
40,64400.0,3.5,MORTGAGE,759,0.312,0,13900.0,HOME_IMPROVEMENT,0
48,96700.0,2.6,MORTGAGE,656,0.074,0,26000.0,PERSONAL,0
47,43500.0,3.9,RENT,522,0.351,2,5600.0,DEBT_CONSOLIDATION,1
59,124800.0,2.8,OWN,707,0.383,3,33000.0,DEBT_CONSOLIDATION,1
52,18200.0,15.9,MORTGAGE,754,0.443,1,2900.0,DEBT_CONSOLIDATION,0
24,75300.0,0.5,MORTGAGE,658,0.117,0,20200.0,EDUCATION,0
33,31800.0,7.7,OWN,615,0.154,1,8600.0,MEDICAL,0
43,38300.0,5.8,RENT,520,0.303,3,1000.0,DEBT_CONSOLIDATION,1
65,65200.0,9.6,MORTGAGE,621,0.186,1,22900.0,MEDICAL,0
74,64900.0,7.1,MORTGAGE,560,0.343,3,5800.0,HOME_IMPROVEMENT,1
69,66400.0,8.2,MORTGAGE,659,0.281,2,26400.0,PERSONAL,1
66,24500.0,13.6,OWN,726,0.307,1,5800.0,VENTURE,0
19,101200.0,0.2,MORTGAGE,580,0.158,1,16300.0,VENTURE,0
18,31200.0,0.0,RENT,714,0.482,5,2100.0,MEDICAL,1
